id,item_group_id,availability,condition,description,image_link,link,title,price,brand,google_product_category
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red Navy / S https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022414407,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790121.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=bbabd2c1c56869cc9ac6454e14c6ccd3,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,27.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red Navy / M https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022447175,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790121.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=bbabd2c1c56869cc9ac6454e14c6ccd3,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red Navy / L https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022479943,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790121.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=bbabd2c1c56869cc9ac6454e14c6ccd3,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red Navy / XL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022512711,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790121.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=bbabd2c1c56869cc9ac6454e14c6ccd3,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Red Navy / XXL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022545479,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790121.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=bbabd2c1c56869cc9ac6454e14c6ccd3,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow Black / S https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022578247,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790122.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=adc76c26066fb8df0e8a171c617aea97,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow Black / M https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022611015,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790122.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=adc76c26066fb8df0e8a171c617aea97,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow Black / L https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022643783,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790122.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=adc76c26066fb8df0e8a171c617aea97,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow Black / XL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022676551,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790122.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=adc76c26066fb8df0e8a171c617aea97,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Yellow Black / XXL https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022709319,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790122.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=adc76c26066fb8df0e8a171c617aea97,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
1.7574E+13,1.81137E+12,in stock,new,Sun Fitness Apparel Women's Boy Shorts Push up Bikini Swimsuit Set Green Gray / S https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set 17574022742087,https://kitcrm.imgix.net/https%3A%2F%2Fcdn2.shopify.com%2Fs%2Ffiles%2F1%2F0061%2F8577%2F9271%2Fproducts%2Fproduct-image-877790123.jpg%3Fv%3D1562943841?ixlib=rb-0.3.5&w=600&s=d17a7d844e9b6cc54438b0620f7d0359,https://sunfitnessapparel.com/products/womens-boy-shorts-push-up-bikini-swimsuit-set,Women's Boy Shorts Push up Bikini Swimsuit Set,25.99 USD,Sun Fitness Apparel,Sporting Goods > Exercise & Fitness
